,...1,country,continent,area_in_pa_cat_1,area_in_pa_cat_2,area_in_pa_cat_3,area_in_pa_cat_4,total_pa_area,area_in_country_cat_1,area_in_country_cat_2,area_in_country_cat_3,area_in_country_cat_4,total_country_area,,y,x
109,1,Costa Rica,North America,0,-8.03E+37,7403.581471,2346.686335,16076.77144,0,0,15365.19922,30304.82617,51035.77344,,0.145967512,0.593795766
3,1,Croatia,Europe,0,0,2915.772571,37826.31894,41980.11268,0,0,2245.874023,51906.45313,55608.44531,,0.901053297,0.933427519
111,1,Cuba,South America,0,0,3536.992178,6801.333183,10806.87289,0,0,8195.448242,94805.89063,109042.25,,0.629352566,0.869441805
113,1,Cyprus,Asia,0,0,1786.642393,5419.003984,7268.658003,0,0,487.4472961,8320.073242,9106.458008,,0.74553019,0.913645375
125,1,Czech Republic,Europe,0,0,632.1872252,32692.41321,33931.8177,0,0,188.9470978,77514.9375,78294.57813,,0.963473678,0.990042214
114,1,Djibouti,Africa,0,0,62.31100655,170.952776,233.2637863,0,0,14916.95313,6025.094238,21426.42188,,0.732873194,0.281199272
115,1,Dominica,North America,0,0,33.43479681,192.6310015,226.0658064,0,0,32.31817245,665.3265381,763.7272339,,0.85210145,0.871157278
117,1,Dominican Republic,North America,0,0,6393.111394,5189.742321,12967.09561,0,0,9251.364258,36853.80859,48317.12109,,0.400223957,0.762748437
118,1,Ecuador,South America,0,0,10084.11733,3814.056698,61765.28616,0,0,64059.13672,95258.36719,255306.3906,,0.061750814,0.373113916
119,1,Egypt,Africa,0,0,10926.17159,2129.052557,100443.3997,0,0,135010.2813,90997.25781,996392.75,,0.02119654,0.091326696
123,1,El Salvador,South America,0,-2.72E+38,99.11804575,2309.132407,2596.180594,0,0,276.0855408,19834.87891,20558.125,,0.88943443,0.964819453
121,1,Equatorial Guinea,Africa,0,0,4154.941859,624.6033848,5878.438175,0,0,18962.91406,5734.698242,26921.33398,,0.106253288,0.213016868
122,1,Eritrea,Africa,0,0,1975.323897,1144.909719,5688.538074,0,0,78779.55469,21714.74219,120818.3984,,0.201266073,0.179730426
124,1,Ethiopia,Africa,0,0,138812.0248,34917.94586,192990.2548,0,0,718650.6875,284426.6563,1127270.625,,0.180931135,0.25231444
130,1,Falkland Islands (Islas Malvinas),South America,0,0,0,0,19.11626625,0,0,0,0,11422.27637,,0,0
129,1,Fiji,Oceania,0,-1.09E+38,148.9103997,8.989889309,431.3514577,0,0,9212.71582,4996.878418,18016.9668,,0.020841217,0.277342933
128,1,Finland,Europe,0,-4.61E+39,18350.79144,6404.867756,104950.0527,0,0,95485.20313,154458.75,332558.7188,,0.061027771,0.464455572
131,1,France,Europe,0,0,15919.90935,175167.313,195675.8892,0,0,11933.54395,528322,545163.6875,,0.895191092,0.9691071
127,1,French Guiana,South America,0,0,2982.033289,200.8043792,43195.2837,0,0,8363.087891,1740.338623,83589.5,,0.004648757,0.020820063
134,1,Gabon,Africa,0,0,15422.44935,720.4069737,68924.35336,0,0,93702.23438,8513.194336,260690.8438,,0.01045214,0.032656284
133,1,"Gambia, The",Africa,0,0,5.617568493,257.1816072,311.9416163,0,0,303.9442139,9926.888672,10716.14746,,0.824454301,0.926348644
148,1,Gaza Strip,Asia,0,0,0,2.800707665,2.83639082,0,0,0,361.9233704,370.4026794,,0.987419521,0.977107863
135,1,Georgia,Asia,0,-1.96E+37,3417.159971,1367.288274,6259.418828,0,0,22882.13867,38780.84766,69641.01563,,0.218436937,0.556867922
140,1,Germany,Europe,0,0,84.76155598,180641.0782,187422.6384,0,0,27.2606163,349946.5,355055.2813,,0.96381675,0.985611307
136,1,Ghana,Africa,0,0,18376.99971,16753.64053,35785.93856,0,0,55989.14453,175164.6094,238984.9219,,0.46816267,0.732952556
137,1,Gibraltar,Europe,0,0,0,3.207230091,3.902424812,0,0,0,4.312462807,7.820232868,,0.821855704,0.551449411
144,1,Greece,Europe,0,0,12256.29413,55727.34275,70656.68685,0,0,9030.101563,115689.2656,129493.8125,,0.788705857,0.893396089
139,1,Greenland,North America,0,0,3.970550582,0,891155.8464,0,0,884.1159668,93.0359726,2140245.5,,0,4.34698E-05
138,1,Grenada,North America,0,0,0,28.09821618,28.09821618,0,0,0,291.4280396,346.0961304,,1,0.842043623
142,1,Guadeloupe,North America,0,0,0.058384273,71.63706809,133.4379657,0,0,20.62128448,1473.321045,1650.588135,,0.536856716,0.892603681
143,1,Guam,Oceania,0,0,0,0.385749698,0.444775999,0,0,0.92281121,490.8606567,575.4417725,,0.867289824,0.853015336
145,1,Guatemala,North America,0,-3.53E+38,21083.62998,6262.784126,38950.23477,0,0,36511.32813,60447.93359,108921.9688,,0.160789381,0.554965488
146,1,Guinea,Africa,0,0,28837.62413,29602.75118,59153.94512,0,0,92950.66406,149692.6563,244951.3438,,0.500435789,0.611111799
147,1,Guyana,South America,0,0,67.33911413,0,18467.22164,0,0,9428.258789,3738.895264,210568.6563,,0,0.017756181
149,1,Haiti,North America,0,0,296.7427702,747.0419703,1064.464578,0,0,1337.324707,24769.07227,27123.48047,,0.701800685,0.913196678
150,1,Honduras,North America,0,-2.65E+38,9992.92036,3817.977001,38097.10298,0,0,33504.4375,51233.21875,112124.2813,,0.10021699,0.456932416
4,1,Hungary,Europe,0,0,50.14466619,36265.40948,39429.75112,0,0,17.31253052,91062.66406,92493.59375,,0.91974736,0.984529418
5,1,Iceland,Europe,0,-3.69E+38,442.2110035,271.0901124,36315.90634,0,0,10596.15039,2399.702881,102104.8047,,0.007464776,0.02350235
8,1,India,Asia,0,-3.61E+38,34157.23333,86404.88724,157296.6169,0,0,179553.5156,2766830,3147207.25,,0.549311797,0.879138163
6,1,Indonesia,Asia,0,-7.25E+38,87693.95565,19484.15199,279661.0308,0,0,604822.1875,651309.375,1893817.75,,0.069670601,0.343913439
9,1,Iran,Asia,0,-3.40E+38,64628.41296,38260.36319,163576.8773,0,0,723676.0625,684246.8125,1618443.5,,0.233898359,0.422780784
14,1,Iraq,Asia,0,0,796.0325679,8736.439932,10091.89428,0,0,92228.17188,211767.4219,434970.375,,0.865688808,0.486854816
120,1,Ireland,Europe,0,0,2469.927235,6879.862347,11191.4836,0,0,3016.685303,63379.85938,69190.07031,,0.614740868,0.916025365
10,1,Israel,Asia,0,0,2449.710835,2443.53279,4912.084803,0,0,4817.134277,15256.94141,20650.26758,,0.497453299,0.738825362
12,1,Italy,Europe,0,-5.46E+39,22276.59344,88428.871,113867.365,0,0,18048.625,275813.2188,298605,,0.776595392,0.923672473
13,1,Ivory Coast,Africa,0,0,41586.39415,28660.45,98575.42775,0,0,90532.58594,217971.5156,321266.1563,,0.290746392,0.678476432
17,1,Jamaica,South America,0,-1.02E+39,1223.026945,1200.246965,2461.386904,0,-3.40E+38,720.3604736,9908.501953,11020.98535,,0.487630353,0.899057719
15,1,Japan,Asia,0,0,9404.901648,76714.37508,90814.1313,0,0,14792.7334,341943.625,369830.875,,0.844740504,0.924594587
16,1,Jersey,Europe,0,0,0,2.218047308,2.402107335,0,0,0,102.7598495,123.2247849,,0.923375603,0.833921922
18,1,Jordan,Asia,0,-3.81E+37,1051.335793,1571.330285,4819.528726,0,0,25100.50977,21294.87891,88974.21875,,0.326034012,0.239337633
24,1,Malaysia,Asia,0,-4.31E+38,19806.89805,4800.142328,44393.57172,0,0,104571.9141,127066.4141,328482.3438,,0.108126968,0.386828749
