,...1,country,continent,urban_and_agri_area_country_cat_1,urban_and_agri_area_country_cat_2,urban_and_agri_area_country_cat_3,urban_and_agri_area_country_cat_4,urban_area_in_country_cat_1,urban_area_in_country_cat_2,urban_area_in_country_cat_3,urban_area_in_country_cat_4,agri_area_in_country_cat_1,agri_area_in_country_cat_2,agri_area_in_country_cat_3,agri_area_in_country_cat_4,total_country_area,,y,x,
41,1,Cape Verde,Africa,NA,NA,NA,1127.329468,NA,NA,NA,3175.132324,NA,NA,NA,1167.954956,4028.191162,,0.965216563,0.279859973,0.788227816
42,1,Cayman Islands,North America,NA,NA,NA,116.9137344,NA,NA,NA,147.4626617,NA,NA,NA,124.003334,208.3854065,,0.942827347,0.561045691,0.7076439
43,1,Central African Republic,Africa,NA,NA,NA,31954.22656,NA,NA,NA,56058.42188,NA,NA,NA,197986.6406,618519.5625,,0.161395872,0.051662435,0.090633224
44,1,Chad,Africa,NA,NA,NA,34372.22266,NA,NA,NA,99480.5625,NA,NA,NA,244728.1406,1270909.125,,0.140450635,0.027045382,0.078275119
45,1,Chile,South America,NA,NA,NA,68799.90625,NA,NA,NA,142575.4688,NA,NA,NA,168342.4844,741665.5625,,0.408690097,0.092764057,0.192236873
46,1,China,Asia,NA,NA,NA,1417233.25,NA,NA,NA,4078088.5,NA,NA,NA,2825563.25,9336336,,0.501575482,0.151797584,0.43679753
47,1,Christmas Island,Asia,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,17.12523079,123.9420776,,0,0,0
48,1,Cocos (Keeling) Islands,Oceania,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1.707043052,17.93731308,,0,0,0
49,1,Colombia,South America,NA,NA,NA,127948.5078,NA,NA,NA,239599.875,NA,NA,NA,481491.1563,1135011.5,,0.265733869,0.112728821,0.211099073
50,1,Comoros,Africa,NA,NA,NA,638.4232788,NA,NA,NA,1160.716675,NA,NA,NA,805.8736572,1715.513306,,0.792212617,0.372147087,0.676600217
51,1,Congo,Africa,NA,NA,NA,9602.103516,NA,NA,NA,16776.75,NA,NA,NA,179931.3125,344017.4063,,0.053365384,0.027911679,0.048767154
52,1,Cook Islands,Oceania,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,59.09662628,150.3301392,,0,0,0
53,1,Costa Rica,North America,NA,NA,NA,16712.30859,NA,NA,NA,30304.82617,NA,NA,NA,27987.04102,51035.77344,,0.597144535,0.32746263,0.593795766
54,1,Croatia,Europe,NA,NA,NA,26951.45898,NA,NA,NA,51906.45313,NA,NA,NA,29202.55469,55608.44531,,0.922914425,0.484664853,0.933427519
55,1,Cuba,South America,NA,NA,NA,40522.47266,NA,NA,NA,94805.89063,NA,NA,NA,48757.46484,109042.25,,0.831102946,0.371621758,0.869441805
56,1,Cyprus,Asia,NA,NA,NA,3833.260254,NA,NA,NA,8320.073242,NA,NA,NA,4113.843262,9106.458008,,0.931795406,0.420938663,0.913645375
57,1,Czech Republic,Europe,NA,NA,NA,32159.7168,NA,NA,NA,77514.9375,NA,NA,NA,32582.60352,78294.57813,,0.987021089,0.410752795,0.990042214
58,1,Denmark,Europe,NA,NA,NA,6682.914063,NA,NA,NA,39831.35156,NA,NA,NA,7131.111328,42417.09766,,0.93714903,0.157552365,0.939040004
59,1,Djibouti,Africa,NA,NA,NA,182.6922455,NA,NA,NA,6025.094238,NA,NA,NA,479.2594604,21426.42188,,0.381196952,0.008526493,0.281199272
60,1,Dominica,North America,NA,NA,NA,343.4972839,NA,NA,NA,665.3265381,NA,NA,NA,355.8084106,763.7272339,,0.965399562,0.449764351,0.871157278
61,1,Dominican Republic,North America,NA,NA,NA,20319.29688,NA,NA,NA,36853.80859,NA,NA,NA,28073.60938,48317.12109,,0.723786408,0.420540306,0.762748437
62,1,Ecuador,South America,NA,NA,NA,55738.65234,NA,NA,NA,95258.36719,NA,NA,NA,109186.3047,255306.3906,,0.510491242,0.218320631,0.373113916
63,1,Egypt,Africa,NA,NA,NA,20745.44727,NA,NA,NA,90997.25781,NA,NA,NA,49624.98438,996392.75,,0.418044409,0.020820552,0.091326696
64,1,El Salvador,South America,NA,NA,NA,13738.98633,NA,NA,NA,19834.87891,NA,NA,NA,14109.4082,20558.125,,0.973746463,0.668299581,0.964819453
