,...1,country,area_in_kba_cat_1,area_in_kba_cat_2,area_in_kba_cat_3,area_in_kba_cat_4,total_kba_area,area_in_country_cat_1,area_in_country_cat_2,area_in_country_cat_3,area_in_country_cat_4,total_country_area,continent,,y,x
151,1,Vietnam,0,-9.44E+37,14992.02586,18156.30508,36501.31242,0,0,52184.25,258974.0313,323948.5313,Asia,,0.49741513,0.799429558
152,1,Virgin Islands,0,0,0,1.223359473,3.632044673,0,0,0,189.468277,218.0441895,North America,,0.336823906,0.868944398
157,1,Wake Island,0,0,0,0,18.31153131,0,0,0,0,18.31153107,North America,,0,0
155,1,Wallis and Futuna,0,0,0,0,35.03146744,0,0,0,0,160.3917694,Oceania,,0,0
154,1,West Bank,0,0,0,1887.034002,1890.787511,0,0,0,5674.820313,5864.784668,Asia,,0.998014844,0.967609321
156,1,Western Sahara,0,-3.19E+38,631.254702,5.20216915,15197.48739,0,0,19320.38867,2835.753418,268507.25,Africa,,0.000342305,0.01056118
158,1,Western Samoa,0,0,528.4438555,204.2976257,1045.958129,0,0,931.3378296,1406.002686,2935.926514,Oceania,,0.195321036,0.478895735
160,1,Yemen,0,0,5301.737086,10760.09854,16899.98057,0,0,129337.3203,99486.79688,423387.8125,Asia,,0.636692953,0.234977942
181,1,Zaire,0,0,48327.08733,11986.42326,163581.6776,0,0,1094970.25,365737.5625,2326467,Africa,,0.073274852,0.157207286
162,1,Zambia,0,0,55894.26573,7449.657567,103803.2801,0,0,445157.8438,164394.7969,751499.8125,Africa,,0.071767073,0.218755606
163,1,Zimbabwe,0,-1.65E+38,20217.20598,3603.074614,31760.58124,0,0,196311.3906,180725.9688,389445.6563,Africa,,0.113444858,0.464059531
,,,,,,,,,,,,,,,0.386215682,0.488317347
